Title	URL	HasUniqueRoleAssignments	User/Group	Roles
ContentTypeFieldMapping	http://sps2013/sites/tomv2/Lists/ContentTypeFieldMapping	True	TOM Members	Read,
ContentTypeFieldMapping	http://sps2013/sites/tomv2/Lists/ContentTypeFieldMapping	True	TOM Visitors	Read,
ContentTypeFieldMapping	http://sps2013/sites/tomv2/Lists/ContentTypeFieldMapping	True	TOM Viewers	Read,
Contexts	http://sps2013/sites/tomv2/Lists/Contexts	True	SPS2013\administrator	Full Control,
Contexts	http://sps2013/sites/tomv2/Lists/Contexts	True	TOM v2 Owners	Full Control,
Contexts	http://sps2013/sites/tomv2/Lists/Contexts	True	TOM v2 Visitors	Read,
Contexts	http://sps2013/sites/tomv2/Lists/Contexts	True	TOM v2 Members	Edit,
Contexts	http://sps2013/sites/tomv2/Lists/Contexts	True	TOM Administrators	Full Control,
Contexts	http://sps2013/sites/tomv2/Lists/Contexts	True	TOM Owners	Full Control,
Contexts	http://sps2013/sites/tomv2/Lists/Contexts	True	TOM Members	Read,
Contexts	http://sps2013/sites/tomv2/Lists/Contexts	True	TOM Visitors	Read,
Contexts	http://sps2013/sites/tomv2/Lists/Contexts	True	TOM Viewers	Read,
Countries	http://sps2013/sites/tomv2/Lists/Countries	True	SPS2013\administrator	Full Control,
Countries	http://sps2013/sites/tomv2/Lists/Countries	True	TOM v2 Owners	Full Control,
Countries	http://sps2013/sites/tomv2/Lists/Countries	True	TOM v2 Visitors	Read,
Countries	http://sps2013/sites/tomv2/Lists/Countries	True	TOM v2 Members	Edit,
Countries	http://sps2013/sites/tomv2/Lists/Countries	True	TOM Administrators	Full Control,
Countries	http://sps2013/sites/tomv2/Lists/Countries	True	TOM Owners	Full Control,
Countries	http://sps2013/sites/tomv2/Lists/Countries	True	TOM Members	Read,
Countries	http://sps2013/sites/tomv2/Lists/Countries	True	TOM Visitors	Read,
Countries	http://sps2013/sites/tomv2/Lists/Countries	True	TOM Viewers	Read,
Currency	http://sps2013/sites/tomv2/Lists/Currency	False	SPS2013\administrator	Full Control,Limited Access,
Currency	http://sps2013/sites/tomv2/Lists/Currency	False	Excel Services Viewers	View Only,
Currency	http://sps2013/sites/tomv2/Lists/Currency	False	TOM v2 Owners	Full Control,Limited Access,
Currency	http://sps2013/sites/tomv2/Lists/Currency	False	TOM v2 Visitors	Read,
Currency	http://sps2013/sites/tomv2/Lists/Currency	False	TOM v2 Members	Edit,Limited Access,
Currency	http://sps2013/sites/tomv2/Lists/Currency	False	TOM Administrators	Full Control,Limited Access,
Currency	http://sps2013/sites/tomv2/Lists/Currency	False	TOM Owners	Full Control,Limited Access,
Currency	http://sps2013/sites/tomv2/Lists/Currency	False	TOM Members	Contribute,Limited Access,
Currency	http://sps2013/sites/tomv2/Lists/Currency	False	TOM Visitors	Read,Limited Access,
Currency	http://sps2013/sites/tomv2/Lists/Currency	False	TOM Viewers	Read,Limited Access,
Currency	http://sps2013/sites/tomv2/Lists/Currency	False	Style Resource Readers	Limited Access,
Currency	http://sps2013/sites/tomv2/Lists/Currency	False	Designers	Design,Limited Access,
Currency	http://sps2013/sites/tomv2/Lists/Currency	False	Hierarchy Managers	Manage Hierarchy,
Currency	http://sps2013/sites/tomv2/Lists/Currency	False	Approvers	Approve,
Currency	http://sps2013/sites/tomv2/Lists/Currency	False	Restricted Readers	Restricted Read,
Currency	http://sps2013/sites/tomv2/Lists/Currency	False	Translation Managers	Restricted Interfaces for Translation,
DataCollectForms	http://sps2013/sites/tomv2/Lists/InfoPathMapping	True	SPS2013\administrator	Full Control,
DataCollectForms	http://sps2013/sites/tomv2/Lists/InfoPathMapping	True	TOM v2 Owners	Full Control,
DataCollectForms	http://sps2013/sites/tomv2/Lists/InfoPathMapping	True	TOM v2 Visitors	Read,
DataCollectForms	http://sps2013/sites/tomv2/Lists/InfoPathMapping	True	TOM v2 Members	Edit,
DataCollectForms	http://sps2013/sites/tomv2/Lists/InfoPathMapping	True	TOM Administrators	Full Control,
DataCollectForms	http://sps2013/sites/tomv2/Lists/InfoPathMapping	True	TOM Owners	Full Control,
DataCollectForms	http://sps2013/sites/tomv2/Lists/InfoPathMapping	True	TOM Members	Read,
DataCollectForms	http://sps2013/sites/tomv2/Lists/InfoPathMapping	True	TOM Visitors	Read,
DataCollectForms	http://sps2013/sites/tomv2/Lists/InfoPathMapping	True	TOM Viewers	Read,
